Componente,Valor propio,Varianza explicada,Varianza explicada acumulada
1,4.426996446862539,49.16892682983104,0.49168926829831033
2,1.2857755153351897,14.2806083067695,0.6344953513660053
3,0.8408283320685354,9.338753087372966,0.727882882239735
4,0.7445271349660538,8.2691731654571,0.810574613894306
5,0.5666131961928058,6.293152280292722,0.8735061366972332
6,0.3986267709605049,4.427392424870739,0.9177800609459406
7,0.32589810369558114,3.619623418931168,0.9539762951352523
8,0.24718260498477207,2.7453610058162004,0.9814299051934143
9,0.16719857240564956,1.8570094806585815,1.0000000000000002
